Number,Original Challenge,contributor,link,title,authorURL,challengeURL
1,rendering raycasting,grilly86,https://codepen.io/Grilly86/project/full/ApNRVn, ray casting game with maze generation,https://codeblock.at/,https://thecodingtrain.com/CodingChallenges/146-rendering-ray-casting.html
2,maze generator,grilly86,https://codepen.io/Grilly86/full/rvmKex,a maze thing game,https://codeblock.at/,https://thecodingtrain.com/CodingChallenges/010.4-maze-dfs-p5.html
3,blobby,grilly86,https://codepen.io/Grilly86/pen/bwAoKq,Animated blob with circular noise coords (no cut),https://codeblock.at/,https://thecodingtrain.com/CodingChallenges/036-blobby.html
4,perlin noise loops,maxim Monakov,https://maximmonakhov.github.io/SpaceGame/,Asteroid game with Noise-Asteroids,,https://thecodingtrain.com/CodingChallenges/136.1-polar-perlin-noise-loops.html
5,10print,eugorgomes,https://editor.p5js.org/igor/present/kRaxw1_gu,arc 10PRINT,,https://thecodingtrain.com/CodingChallenges/076-10print.html
6,random walk,mikakruschel,https://editor.p5js.org/mikakruschel/present/QchVIhVlH,Random Walker with Colours,,https://thecodingtrain.com/CodingChallenges/052-random-walk.html
7,fourier series,Abdul Haliq,https://editor.p5js.org/AHaliq/present/1CZOJ2oDT,"Amplitude, Frequency, Phase",https://github.com/AHaliq,https://thecodingtrain.com/CodingChallenges/125-fourier-series.html
8,fireworks,Bryan,https://www.openprocessing.org/sketch/735262,"Love from Nara, Japan",https://www.openprocessing.org/user/181789,https://thecodingtrain.com/CodingChallenges/027-fireworks.html
9,flappy bird ai,Sergei Golimbievsky,https://sergei202.com/flappy-bird/,Flappy Bird ML use neuro-evolution,https://github.com/sergei202,https://thecodingtrain.com/CodingChallenges/100.5-neuroevolution-flappy-bird.html
10,astar,David Snyder,https://editor.p5js.org/davidgraygs4@gmail.com/present/WtbDxjSCs,A* maze solver,https://github.com/GypsyDangerous,https://thecodingtrain.com/CodingChallenges/051.1-astar
11,fourier series,Nate Plamondon,https://www.youtube.com/watch?v=d173h4fVxD8,Basic wave visualization using Fourier Series in python with pygame,https://github.com/meznak,https://thecodingtrain.com/CodingChallenges/125-fourier-series.html
12,convex hull,AfroDisco,https://editor.p5js.org/undefined/present/nSWqjnOJU,Convex hull divide and conquer,https://github.com/AfroDisco,https://thecodingtrain.com/CodingChallenges/148-gift-wrapping.html
13,angry birds,Dizolivemint,https://angrybird.withkoji.com/,Koji Version,https://www.milesexner.com/,https://thecodingtrain.com/CodingChallenges/138-angry-birds.html
14,tic tac toe,David Snyder,https://editor.p5js.org/davidgraygs4@gmail.com/present/A0IzNW_l0,Tic Tac Toe,https://github.com/GypsyDangerous,https://thecodingtrain.com/CodingChallenges/149-tic-tac-toe.html
15,tic tac toe,TheTastefulToastie,https://editor.p5js.org/TheTastefulToastie/present/EZWUlidf1,Tic-Tac-Toe Animated!,,https://thecodingtrain.com/CodingChallenges/149-tic-tac-toe.html
16,tic tac toe,Manikanta Narayana,https://editor.p5js.org/ilmnarayana/present/o-pkHOuVq,Tic-Tac-Toe PvsAI Minimax with alpha-beta pruning,,https://thecodingtrain.com/CodingChallenges/149-tic-tac-toe.html
